113,河南,郑州,34460000,113400000,郑州,0
114,河南,开封,34470000,114210000,开封,0
115,河南,洛阳,34410000,112270000,洛阳,0
116,河南,平顶山,33440000,113170000,平顶,0
117,河南,安阳,36060000,114210000,安阳,0
118,河南,鹤壁,35540000,114110000,鹤壁,0
119,河南,新乡,35180000,113520000,新乡,0
120,河南,焦作,35140000,113120000,焦作,0
121,河南,濮阳,35440000,115010000,濮阳,0
122,河南,许昌,34010000,113490000,许昌,0
123,河南,漯河,33330000,114020000,漯河,0
124,河南,三门峡,34470000,111120000,三门,0
125,河南,南阳,33000000,112320000,南阳,0
126,河南,商丘,34260000,115380000,商丘,0
127,河南,信阳,32070000,114040000,信阳,0
128,河南,周口,33370000,114380000,周口,0
129,河南,驻马店,32580000,114010000,驻马,0
130,吉林,长春,43540000,125190000,长春,0
131,吉林,四平,43100000,124220000,四平,0
132,吉林,辽源,42540000,125090000,辽源,0
133,吉林,白山,41560000,126260000,白山,0
134,吉林,松源,45110000,124490000,松源,0
135,吉林,白城,45380000,122500000,白城,0
136,吉林,吉林,43520000,126330000,吉林,0
137,吉林,通化,41430000,125560000,通化,0
138,宁夏,银川,38270000,106160000,银川,0
139,宁夏,石嘴山,39020000,106220000,石嘴,0
140,宁夏,吴忠,37590000,106110000,吴忠,0
141,宁夏,固原,36015800,106242600,固原,0
142,宁夏,中卫,37516790,105173820,中卫,0
143,湖南,长沙,28120000,112590000,长沙,0
144,湖南,株洲,27510000,113090000,株洲,0
145,湖南,湘潭,27520000,112530000,湘潭,0
146,湖南,衡阳,26530000,112370000,衡阳,0
147,湖南,邵阳,27140000,111280000,邵阳,0
148,湖南,岳阳,29220000,113060000,岳阳,0
149,湖南,常德,29020000,111510000,常德,0
150,湖南,张家界,29080000,110290000,张家,0
151,湖南,益阳,28360000,112200000,益阳,0
152,湖南,郴州,25460000,113020000,郴州,0
153,湖南,怀化,27330000,109580000,怀化,0
154,湖南,娄底,27440000,111590000,娄底,0
155,湖南,永州,26130000,111370000,永州,0
156,湖南,郴州,25460000,113020000,郴州,0
157,湖北,武汉,30350000,114170000,武汉,11
158,湖北,黄石,30120000,115060000,黄石,0
159,湖北,十堰,32400000,110470000,十堰,0
160,湖北,荆州,30335200,112239700,荆州,0
161,湖北,襄樊,32020000,112080000,襄樊,0
162,湖北,鄂州,30230000,114520000,鄂州,0
163,湖北,荆门,31020000,112120000,荆门,0
164,湖北,孝感,30560000,113540000,孝感,0
165,湖北,黄冈,30453910,114872300,黄冈,0
166,湖北,咸宁,29530000,114170000,咸宁,0
167,湖北,宜昌,30420000,111170000,宜昌,0
168,湖北,随州,31420000,113220000,随州,0
169,湖北,恩施,30160000,109290000,恩施,0
170,山西,太原,37540000,112330000,太原,0
171,山西,大同,40060000,113170000,大同,0
172,山西,朔州,39190000,112260000,朔州,0
173,山西,阳泉,37510000,113340000,阳泉,0
174,山西,长治,36110000,113060000,长治,0
175,山西,晋城,35300000,112510000,晋城,0
176,山西,忻州,38240000,112430000,忻州,0
177,山西,吕梁,37518210,111144300,吕梁,0
178,山西,晋中,37686900,112752700,晋中,0
179,山西,临汾,36050000,111310000,临汾,0
180,山西,运城,35020000,110590000,运城,0
181,云南,昆明,25040000,102420000,昆明,0
182,云南,曲靖,25300000,103480000,曲靖,0
183,云南,玉溪,24220000,102320000,玉溪,0
184,云南,保山,25080000,99100000,保山,0
185,云南,昭通,27200000,103420000,昭通,0
186,云南,丽江,26876800,100230300,丽江,0
187,云南,普洱,22777760,100970100,普洱,0
188,云南,临沧,23877480,100079600,临沧,0
189,云南,文山,23368810,104250150,文山,0
190,云南,红河,23363100,103374800,红河,0
191,云南,西双版纳,22008200,100797300,西双,0
192,云南,楚雄,25010000,101320000,楚雄,0
193,云南,大理,25340000,100130000,大理,0
194,云南,德宏,24433350,98584840,德宏,0
195,云南,怒江,25852490,98853160,怒江,0
196,云南,迪庆,27818870,99702200,迪庆,0
197,甘肃,兰州,36040000,103510000,兰州,0
198,甘肃,金昌,38280000,102100000,金昌,0
199,甘肃,白银,36330000,104120000,白银,0
200,甘肃,张掖,38560000,100260000,张掖,0
201,甘肃,天水,34370000,105420000,天水,0
202,甘肃,庆阳,35738670,107632300,庆阳,0
203,甘肃,嘉峪关,39480000,98140000,嘉峪,0
204,甘肃,定西,35580640,104626400,定西,0
205,甘肃,酒泉,39440000,98310000,酒泉,0
